,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize
566,0,3,0,19.0,0,0,7.8958,0,1
127,1,3,0,24.0,0,0,7.1417,0,1
548,0,3,0,33.0,1,1,20.525,0,3
37,0,3,0,21.0,0,0,8.05,0,1
627,1,1,1,21.0,0,0,77.9583,0,1
452,0,1,0,30.0,0,0,27.75,2,1
358,1,3,1,28.0,0,0,7.8792,1,1
379,0,3,0,19.0,0,0,7.775,0,1
716,1,1,1,38.0,0,0,227.525,2,1
374,0,3,1,3.0,3,1,21.075,0,5
653,1,3,1,28.0,0,0,7.8292,1,1
320,0,3,0,22.0,0,0,7.25,0,1
596,1,2,1,28.0,0,0,33.0,0,1
650,0,3,0,28.0,0,0,7.8958,0,1
834,0,3,0,18.0,0,0,8.3,0,1
662,0,1,0,47.0,0,0,25.5875,0,1
708,1,1,1,22.0,0,0,151.55,0,1
869,1,3,0,4.0,1,1,11.1333,0,3
43,1,2,1,3.0,1,2,41.5792,2,4
258,1,1,1,35.0,0,0,512.3292,2,1
267,1,3,0,25.0,1,0,7.775,0,2
606,0,3,0,30.0,0,0,7.8958,0,1
147,0,3,1,9.0,2,2,34.375,0,5
315,1,3,1,26.0,0,0,7.8542,0,1
810,0,3,0,26.0,0,0,7.8875,0,1
442,0,3,0,25.0,1,0,7.775,0,2
734,0,2,0,23.0,0,0,13.0,0,1
118,0,1,0,24.0,0,1,247.5208,2,2
305,1,1,0,0.92,1,2,151.55,0,4
793,0,1,0,28.0,0,0,30.6958,2,1
309,1,1,1,30.0,0,0,56.9292,2,1
808,0,2,0,39.0,0,0,13.0,0,1
347,1,3,1,28.0,1,0,16.1,0,2
250,0,3,0,28.0,0,0,7.25,0,1
608,1,2,1,22.0,1,2,41.5792,2,4
415,0,3,1,28.0,0,0,8.05,0,1
713,0,3,0,29.0,0,0,9.4833,0,1
602,0,1,0,28.0,0,0,42.4,0,1
590,0,3,0,35.0,0,0,7.125,0,1
583,0,1,0,36.0,0,0,40.125,2,1
246,0,3,1,25.0,0,0,7.775,0,1
324,0,3,0,28.0,8,2,69.55,0,11
353,0,3,0,25.0,1,0,17.8,0,2
75,0,3,0,25.0,0,0,7.65,0,1
687,0,3,0,19.0,0,0,10.1708,0,1
465,0,3,0,38.0,0,0,7.05,0,1
245,0,1,0,44.0,2,0,90.0,1,3
883,0,2,0,28.0,0,0,10.5,0,1
113,0,3,1,20.0,1,0,9.825,0,2
634,0,3,1,9.0,3,2,27.9,0,6
387,1,2,1,36.0,0,0,13.0,0,1
316,1,2,1,24.0,1,0,26.0,0,2
684,0,2,0,60.0,1,1,39.0,0,3
817,0,2,0,31.0,1,1,37.0042,2,3
141,1,3,1,22.0,0,0,7.75,0,1
351,0,1,0,28.0,0,0,35.0,0,1
162,0,3,0,26.0,0,0,7.775,0,1
829,1,1,1,62.0,0,0,80.0,0,1
201,0,3,0,28.0,8,2,69.55,0,11
688,0,3,0,18.0,0,0,7.7958,0,1
138,0,3,0,16.0,0,0,9.2167,0,1
166,1,1,1,28.0,0,1,55.0,0,2
383,1,1,1,35.0,1,0,52.0,0,2
545,0,1,0,64.0,0,0,26.0,0,1
858,1,3,1,24.0,0,3,19.2583,2,4
51,0,3,0,21.0,0,0,7.8,0,1
691,1,3,1,4.0,0,1,13.4167,2,2
180,0,3,1,28.0,8,2,69.55,0,11
62,0,1,0,45.0,1,0,83.475,0,2
515,0,1,0,47.0,0,0,34.0208,0,1
34,0,1,0,28.0,1,0,82.1708,2,2
616,0,3,0,34.0,1,1,14.4,0,3
41,0,2,1,27.0,1,0,21.0,0,2
605,0,3,0,36.0,1,0,15.55,0,2
723,0,2,0,50.0,0,0,13.0,0,1
845,0,3,0,42.0,0,0,7.55,0,1
299,1,1,1,50.0,0,1,247.5208,2,2
597,0,3,0,49.0,0,0,0.0,0,1
702,0,3,1,18.0,0,1,14.4542,2,2
224,1,1,0,38.0,1,0,90.0,0,2
280,0,3,0,65.0,0,0,7.75,1,1
148,0,2,0,36.5,0,2,26.0,0,3
432,1,2,1,42.0,1,0,26.0,0,2
31,1,1,1,28.0,1,0,146.5208,2,2
475,0,1,0,28.0,0,0,52.0,0,1
266,0,3,0,16.0,4,1,39.6875,0,6
73,0,3,0,26.0,1,0,14.4542,2,2
152,0,3,0,55.5,0,0,8.05,0,1
239,0,2,0,33.0,0,0,12.275,0,1
603,0,3,0,44.0,0,0,8.05,0,1
539,1,1,1,22.0,0,2,49.5,2,3
546,1,2,1,19.0,1,0,26.0,0,2
498,0,1,1,25.0,1,2,151.55,0,4
400,1,3,0,39.0,0,0,7.925,0,1
126,0,3,0,28.0,0,0,7.75,1,1
79,1,3,1,30.0,0,0,12.475,0,1
868,0,3,0,28.0,0,0,9.5,0,1
